Team,Continent,Bronze,Silver,Gold,Total
China,Asia,34,30,16,80
Netherlands,Europe,30,21,29,80
United States of America,Americas,105,181,78,364
Finland,Europe,162,56,17,235
Norway,Europe,63,81,89,233
Romania,Europe,0,0,0,0
France,Europe,54,25,21,100
Estonia,Europe,1,2,4,7
Morocco,Africa,0,0,0,0
Spain,Europe,1,0,0,1
Egypt,Africa,0,0,0,0
Italy,Europe,60,38,37,135
Chad,Africa,0,0,0,0
Azerbaijan,Asia,0,0,0,0
Russia,Europe,77,89,94,260
Argentina,Americas,0,0,0,0
Cuba,Americas,0,0,0,0
Belarus,Europe,5,4,6,15
Greece,Europe,0,0,0,0
Cameroon,Africa,0,0,0,0
Turkey,Asia,0,0,0,0
Mexico,Americas,0,0,0,0
Chile,Americas,0,0,0,0
Nicaragua,Americas,0,0,0,0
Hungary,Europe,0,0,0,0
Algeria,Africa,0,0,0,0
Bahrain,Asia,0,0,0,0
Pakistan,Asia,0,0,0,0
Iraq,Asia,0,0,0,0
Qatar,Asia,0,0,0,0
Iran,Asia,0,0,0,0
Canada,Africa,54,157,230,441
Ireland,Europe,0,0,0,0
Australia,Oceania,7,3,5,15
South Africa,Africa,0,0,0,0
Eritrea,Africa,0,0,0,0
Libya,Africa,0,0,0,0
Sudan,Africa,0,0,0,0
Belgium,Europe,1,0,0,1
Djibouti,Africa,0,0,0,0
Palestine,Oceania,0,0,0,0
Comoros,Africa,0,0,0,0
Kazakhstan,Asia,3,3,1,7
Brunei,Asia,0,0,0,0
Kuwait,Oceania,0,0,0,0
Malaysia,Asia,0,0,0,0
United Arab Emirates,Asia,0,0,0,0
Indonesia,Asia,0,0,0,0
Singapore,Asia,0,0,0,0
Uzbekistan,Asia,0,0,1,1
Kyrgyzstan,Oceania,0,0,0,0
Tajikistan,Asia,0,0,0,0
Unified Team,Europe,14,10,35,59
Japan,Asia,22,18,16,56
Ethiopia,Africa,0,0,0,0
Germany,Europe,71,123,133,327
Sweden,Europe,58,61,78,197
United States of America Virgin Islands,Americas,0,0,0,0
Sri Lanka,Asia,0,0,0,0
Armenia,Asia,0,0,0,0
Cote d'Ivoire,Americas,0,0,0,0
Kenya,Africa,0,0,0,0
Nigeria,Africa,0,0,0,0
Brazil,Americas,0,0,0,0
Ukraine,Europe,5,1,5,11
Ghana,Africa,0,0,0,0
Latvia,Oceania,7,8,0,15
Syria,Europe,0,0,0,0
Lebanon,Oceania,0,0,0,0
Mali,Africa,0,0,0,0
Switzerland,Europe,61,31,32,124
India,Asia,0,0,0,0
Georgia,Asia,0,0,0,0
Slovenia,Europe,12,4,2,18
Croatia,Europe,1,6,4,11
Guyana,Americas,0,0,0,0
Portugal,Europe,0,0,0,0
Bulgaria,Europe,2,2,1,5
Poland,Europe,9,9,5,23
Angola,Africa,0,0,0,0
Venezuela,Oceania,0,0,0,0
Colombia,Americas,0,0,0,0
Bangladesh,Asia,0,0,0,0
Jordan,Asia,0,0,0,0
Somalia,Africa,0,0,0,0
Saudi Arabia,Asia,0,0,0,0
Puerto Rico,Americas,0,0,0,0
United Kingdom,Asia,13,5,7,25
Uganda,Africa,0,0,0,0
Tunisia,Africa,0,0,0,0
Honduras,Americas,0,0,0,0
El Salvador,Americas,0,0,0,0
Turkmenistan,Asia,0,0,0,0
Mauritius,Africa,0,0,0,0
Seychelles,Africa,0,0,0,0
Czechoslovakia,Europe,27,0,0,27
Czechia,Europe,34,12,27,73
Niger,Africa,0,0,0,0
Saint Kitts and Nevis,Americas,0,0,0,0
New Zealand,Oceania,0,1,0,1
Liberia,Oceania,0,0,0,0
Suriname,Americas,0,0,0,0
Nepal,Asia,0,0,0,0
Mongolia,Asia,0,0,0,0
Palau,Oceania,0,0,0,0
Lithuania,Europe,0,0,0,0
Namibia,Africa,0,0,0,0
American Samoa,Oceania,0,0,0,0
Togo,Africa,0,0,0,0
Samoa,Oceania,0,0,0,0
Rwanda,Africa,0,0,0,0
Dominica,Americas,0,0,0,0
Benin,Africa,0,0,0,0
Haiti,Americas,0,0,0,0
Denmark,Europe,0,5,0,5
Malta,Europe,0,0,0,0
Austria,Europe,66,50,48,164
Dominican Rep.,Americas,0,0,0,0
Panama,Americas,0,0,0,0
Belize,Americas,0,0,0,0
Trinidad and Tobago,Americas,0,0,0,0
Paraguay,Americas,0,0,0,0
Uruguay,Americas,0,0,0,0
Maldives,Asia,0,0,0,0
South Korea,Asia,10,26,50,86
Mauritania,Africa,0,0,0,0
Peru,Americas,0,0,0,0
Bermuda,Americas,0,0,0,0
Serbia and Montenegro,Europe,0,0,0,0
Saint Vincent and the Grenadines,Americas,0,0,0,0
Cyprus,Asia,0,0,0,0
Papua New Guinea,Oceania,0,0,0,0
Yemen,Asia,0,0,0,0
Individual Olympic Athletes,Asia,0,0,0,0
Oman,Asia,0,0,0,0
Fiji,Oceania,0,0,0,0
Vanuatu,Oceania,0,0,0,0
Jamaica,Americas,0,0,0,0
Moldova,Oceania,0,0,0,0
Guatemala,Americas,0,0,0,0
Israel,Asia,0,0,0,0
Serbia,Europe,0,0,0,0
Monaco,Europe,0,0,0,0
British Virgin Islands,Europe,0,0,0,0
Iceland,Europe,0,0,0,0
Costa Rica,Americas,0,0,0,0
Central African Rep.,Americas,0,0,0,0
Madagascar,Africa,0,0,0,0
Bosnia and Herzegovina,Europe,0,0,0,0
Guam,Oceania,0,0,0,0
Philippines,Asia,0,0,0,0
Cayman Islands,Americas,0,0,0,0
Slovakia,Europe,1,2,2,5
Barbados,Americas,0,0,0,0
Ecuador,Americas,0,0,0,0
Guinea Bissau,Africa,0,0,0,0
Sierra Leone,Africa,0,0,0,0
Timor Leste,Asia,0,0,0,0
Dem. Rep. Congo,Europe,0,0,0,0
Gabon,Africa,0,0,0,0
Bahamas,Americas,0,0,0,0
San Marino,Europe,0,0,0,0
Thailand,Asia,0,0,0,0
Laos,Oceania,0,0,0,0
Botswana,Africa,0,0,0,0
Refugee Olympic Athletes,Asia,0,0,0,0
North Korea,Oceania,1,0,0,1
Mozambique,Africa,0,0,0,0
Solomon Islands,Oceania,0,0,0,0
Cape Verde,Africa,0,0,0,0
Equatorial Guinea,Africa,0,0,0,0
Bolivia,Asia,0,0,0,0
Andorra,Europe,0,0,0,0
Antigua and Barbuda,Americas,0,0,0,0
Luxembourg,Europe,0,2,0,2
Zimbabwe,Africa,0,0,0,0
Grenada,Americas,0,0,0,0
Senegal,Africa,0,0,0,0
Hong Kong,Asia,0,0,0,0
Saint Lucia,Americas,0,0,0,0
Federated States of Micronesia,Europe,0,0,0,0
Myanmar,Asia,0,0,0,0
Afghanistan,Asia,0,0,0,0
Yugoslavia,Asia,0,0,0,0
Guinea,Africa,0,0,0,0
Taiwan,Asia,0,0,0,0
Sao Tome and Principe,Africa,0,0,0,0
Congo,Africa,0,0,0,0
Macedonia,Asia,0,0,0,0
Tonga,Oceania,0,0,0,0
Montenegro,Europe,0,0,0,0
Gambia,Africa,0,0,0,0
Tanzania,Asia,0,0,0,0
Mistral Hojris,Oceania,0,0,0,0
Cook Islands,Oceania,0,0,0,0
Albania,Europe,0,0,0,0
Relampago,Asia,0,0,0,0
Swaziland,Africa,0,0,0,0
Burundi,Africa,0,0,0,0
Aruba,Americas,0,0,0,0
Liechtenstein,Europe,0,0,0,0
Whitini Star,Africa,0,0,0,0
Nauru,Oceania,0,0,0,0
Lucky Star,Europe,0,0,0,0
Briar,Americas,0,0,0,0
Gran Gesto,Europe,0,0,0,0
Zambia,Africa,0,0,0,0
Vietnam,Asia,0,0,0,0
Elvis Va,Americas,0,0,0,0
Netherlands Antilles,Europe,0,0,0,0
Cambodia,Asia,0,0,0,0
Malawi,Africa,0,0,0,0
Calimucho,Africa,0,0,0,0
Bhutan,Asia,0,0,0,0
Marshall Islands,Oceania,0,0,0,0
Kiribati,Oceania,0,0,0,0
Oxalis,Asia,0,0,0,0
Tuvalu,Oceania,0,0,0,0
Kosovo,Oceania,0,0,0,0
South Sudan,Africa,0,0,0,0
Don Schufro,Americas,0,0,0,0
Burkina Faso,Africa,0,0,0,0
Lancet,Oceania,0,0,0,0
Whisper,Africa,0,0,0,0
Clearwater,Americas,0,0,0,0
Lesotho,Oceania,0,0,0,0
Bonaparte,Americas,0,0,0,0
Mythilus,Asia,0,0,0,0
Rambo,Asia,0,0,0,0
Floresco,Europe,0,0,0,0
Brentina,Americas,0,0,0,0
Nadine,Asia,0,0,0,0
Pop Art,Europe,0,0,0,0
Quando Quando,Asia,0,0,0,0
Diabolo St Maurice,Europe,0,0,0,0
Ravel,Asia,0,0,0,0
Notavel,Europe,0,0,0,0
Galopin De La Font,Africa,0,0,0,0
Orion,Asia,0,0,0,0
Greenoaks Dundee,Americas,0,0,0,0
Sunrise,Africa,0,0,0,0
Salinero,Americas,0,0,0,0
Satchmo,Africa,0,0,0,0
Solos Carex,Oceania,0,0,0,0
Dow Jones,Americas,0,0,0,0
Digby,Europe,0,0,0,0
